HomeTeam,AwayTeam,HomeGoals,AwayGoals
Man City,Liverpool,1,1
Burnley,West Ham,1,2
Luton,Crystal Palace,2,1
Newcastle,Chelsea,4,1
Nott'm Forest,Brighton,2,3
Sheffield Utd,Bournemouth,1,3
Brentford,Arsenal,0,1
Spurs,Aston Villa,1,2
Everton,Man Utd,0,3
Fulham,Wolves,3,2
Arsenal,Wolves,2,1
Brentford,Luton,3,1
Burnley,Sheffield Utd,5,0
Nott'm Forest,Everton,0,1
Newcastle,Man Utd,1,0
Bournemouth,Aston Villa,2,2
Chelsea,Brighton,3,2
Liverpool,Fulham,4,3
West Ham,Crystal Palace,1,1
Man City,Spurs,3,3
Wolves,Burnley,1,0
Luton,Arsenal,3,4
Brighton,Brentford,2,1
Crystal Palace,Bournemouth,0,2
Fulham,Nott'm Forest,5,0
Sheffield Utd,Liverpool,0,2
Aston Villa,Man City,1,0
Man Utd,Chelsea,2,1
Everton,Newcastle,3,0
Spurs,West Ham,1,2
Crystal Palace,Liverpool,1,2
Brighton,Burnley,1,1
Man Utd,Bournemouth,0,3
Sheffield Utd,Brentford,1,0
Wolves,Nott'm Forest,1,1
Aston Villa,Arsenal,1,0
Everton,Chelsea,2,0
Fulham,West Ham,5,0
Luton,Man City,1,2
Spurs,Newcastle,4,1
Nott'm Forest,Spurs,0,2
Chelsea,Sheffield Utd,2,0
Man City,Crystal Palace,2,2
Newcastle,Fulham,3,0
Burnley,Everton,0,2
Arsenal,Brighton,2,0
Brentford,Aston Villa,1,2
West Ham,Wolves,3,0
Liverpool,Man Utd,0,0
Crystal Palace,Brighton,1,1
Aston Villa,Sheffield Utd,1,1
West Ham,Man Utd,2,0
Fulham,Burnley,0,2
Luton,Newcastle,1,0
Nott'm Forest,Bournemouth,2,3
Spurs,Everton,2,1
Liverpool,Arsenal,1,1
Wolves,Chelsea,2,1
Newcastle,Nott'm Forest,1,3
Bournemouth,Fulham,3,0
Sheffield Utd,Luton,2,3
Burnley,Liverpool,0,2
Man Utd,Aston Villa,3,2
Brentford,Wolves,1,4
Chelsea,Crystal Palace,2,1
Everton,Man City,1,3
Brighton,Spurs,4,2
Arsenal,West Ham,0,2
Luton,Chelsea,2,3
Aston Villa,Burnley,3,2
Crystal Palace,Brentford,3,1
Man City,Sheffield Utd,2,0
Wolves,Everton,3,0
Nott'm Forest,Man Utd,2,1
Fulham,Arsenal,2,1
Spurs,Bournemouth,3,1
Liverpool,Newcastle,4,2
West Ham,Brighton,0,0
Burnley,Luton,1,1
Chelsea,Fulham,1,0
Newcastle,Man City,2,3
Everton,Aston Villa,0,0
Man Utd,Spurs,2,2
Arsenal,Crystal Palace,5,0
Brentford,Nott'm Forest,3,2
Sheffield Utd,West Ham,2,2
Bournemouth,Liverpool,0,4
Brighton,Wolves,0,0
Nott'm Forest,Arsenal,1,2
Fulham,Everton,0,0
Luton,Brighton,4,0
Crystal Palace,Sheffield Utd,3,2
Aston Villa,Newcastle,1,3
Man City,Burnley,3,1
Spurs,Brentford,3,2
Liverpool,Chelsea,4,1
West Ham,Bournemouth,1,1
Wolves,Man Utd,3,4
Everton,Spurs,2,2
Brighton,Crystal Palace,4,1
Burnley,Fulham,2,2
Newcastle,Luton,4,4
Sheffield Utd,Aston Villa,0,5
Bournemouth,Nott'm Forest,1,1
Chelsea,Wolves,2,4
Man Utd,West Ham,3,0
Arsenal,Liverpool,3,1
Brentford,Man City,1,3
Man City,Everton,2,0
Fulham,Bournemouth,3,1
Liverpool,Burnley,3,1
Luton,Sheffield Utd,1,3
Spurs,Brighton,2,1
Wolves,Brentford,0,2
Nott'm Forest,Newcastle,2,3
West Ham,Arsenal,0,6
Aston Villa,Man Utd,1,2
Crystal Palace,Chelsea,1,3
Brentford,Liverpool,1,4
Burnley,Arsenal,0,5
Fulham,Aston Villa,1,2
Newcastle,Bournemouth,2,2
Nott'm Forest,West Ham,2,0
Spurs,Wolves,1,2
Man City,Chelsea,1,1
Sheffield Utd,Brighton,0,5
Luton,Man Utd,1,2
Everton,Crystal Palace,1,1
Man City,Brentford,1,0
Liverpool,Luton,4,1
Aston Villa,Nott'm Forest,4,2
Brighton,Everton,1,1
Crystal Palace,Burnley,3,0
Man Utd,Fulham,1,2
Bournemouth,Man City,0,1
Arsenal,Newcastle,4,1
Wolves,Sheffield Utd,1,0
West Ham,Brentford,4,2
Brentford,Chelsea,2,2
Everton,West Ham,1,3
Fulham,Brighton,3,0
Newcastle,Wolves,3,0
Nott'm Forest,Liverpool,0,1
Spurs,Crystal Palace,3,1
Luton,Aston Villa,2,3
Burnley,Bournemouth,0,2
Man City,Man Utd,3,1
Sheffield Utd,Arsenal,0,6
Man Utd,Everton,2,0
Bournemouth,Sheffield Utd,2,2
Crystal Palace,Luton,1,1
Wolves,Fulham,2,1
Arsenal,Brentford,2,1
Aston Villa,Spurs,0,4
Brighton,Nott'm Forest,1,0
West Ham,Burnley,2,2
Liverpool,Man City,1,1
Chelsea,Newcastle,3,2
Bournemouth,Luton,4,3
Burnley,Brentford,2,1
Luton,Nott'm Forest,1,1
Fulham,Spurs,3,0
West Ham,Aston Villa,1,1
Newcastle,West Ham,4,3
Bournemouth,Everton,2,1
Chelsea,Burnley,2,2
Nott'm Forest,Crystal Palace,1,1
Sheffield Utd,Fulham,3,3
Spurs,Luton,2,1
Aston Villa,Wolves,2,0
Brentford,Man Utd,1,1
Liverpool,Brighton,2,1
Man City,Arsenal,0,0
Newcastle,Everton,1,1
Nott'm Forest,Fulham,3,1
Bournemouth,Crystal Palace,1,0
Burnley,Wolves,1,1
West Ham,Spurs,1,1
Arsenal,Luton,2,0
Brentford,Brighton,0,0
Man City,Aston Villa,4,1
Liverpool,Sheffield Utd,3,1
Chelsea,Man Utd,4,3
Crystal Palace,Man City,2,4
Aston Villa,Brentford,3,3
Everton,Burnley,1,0
Fulham,Newcastle,0,1
Luton,Bournemouth,2,1
Wolves,West Ham,1,2
Brighton,Arsenal,0,3
Man Utd,Liverpool,2,2
Sheffield Utd,Chelsea,2,2
Spurs,Nott'm Forest,3,1
Newcastle,Spurs,4,0
Brentford,Sheffield Utd,2,0
Burnley,Brighton,1,1
Man City,Luton,5,1
Nott'm Forest,Wolves,2,2
Bournemouth,Man Utd,2,2
Liverpool,Crystal Palace,0,1
West Ham,Fulham,0,2
Arsenal,Aston Villa,0,2
Chelsea,Everton,6,0
Luton,Brentford,1,5
Sheffield Utd,Burnley,1,4
Wolves,Arsenal,0,2
Everton,Nott'm Forest,2,0
Aston Villa,Bournemouth,3,1
Crystal Palace,West Ham,5,2
Fulham,Liverpool,1,3
Arsenal,Chelsea,5,0
Wolves,Bournemouth,0,1
Crystal Palace,Newcastle,2,0
Everton,Liverpool,2,0
Man Utd,Sheffield Utd,4,2
Brighton,Man City,0,4
West Ham,Liverpool,2,2
Fulham,Crystal Palace,1,1
Man Utd,Burnley,1,1
Newcastle,Sheffield Utd,5,1
Wolves,Luton,2,1
Everton,Brentford,1,0
Aston Villa,Chelsea,2,2
Bournemouth,Brighton,3,0
Spurs,Arsenal,2,3
Nott'm Forest,Man City,0,2
Chelsea,Spurs,2,0
Luton,Everton,1,1
Arsenal,Bournemouth,3,0
Brentford,Fulham,0,0
Burnley,Newcastle,1,4
Sheffield Utd,Nott'm Forest,1,3
Man City,Wolves,5,1
Brighton,Aston Villa,1,0
Chelsea,West Ham,5,0
Liverpool,Spurs,4,2
Crystal Palace,Man Utd,4,0
Fulham,Man City,0,4
Bournemouth,Brentford,1,2
Everton,Sheffield Utd,1,0
Newcastle,Brighton,1,1
Spurs,Burnley,2,1
West Ham,Luton,3,1
Wolves,Crystal Palace,1,3
Nott'm Forest,Chelsea,2,3
Man Utd,Arsenal,0,1
Aston Villa,Liverpool,3,3
Spurs,Man City,0,2
Brighton,Chelsea,1,2
Man Utd,Newcastle,3,2
Arsenal,Everton,2,1
Brentford,Newcastle,2,4
Brighton,Man Utd,0,2
Burnley,Nott'm Forest,1,2
Chelsea,Bournemouth,2,1
Crystal Palace,Aston Villa,5,0
Liverpool,Wolves,2,0
Luton,Fulham,2,4
Man City,West Ham,3,1
Sheffield Utd,Spurs,0,3
